language,file,time_min,time_max,time_avg
"OCaml (ocamlopt)",mob.ml,0.002486,0.002676,0.00256766666666667
"Go (go)",mob.go,0.034676,0.035621,0.035194
"C (gcc -O0)",mob2.c,0.004511,0.004565,0.00453033333333333
"C (gcc -O2)",mob2.c,0.002739,0.002767,0.00274933333333333
"C (gcc -Ofast)",mob2.c,0.002685,0.002705,0.00269266666666667
"C (gcc -O0)",mob3.c,0.00543,0.005452,0.005439
"C (gcc -Ofast)",mob3.c,0.002462,0.002559,0.00251333333333333
"C (gcc -O2)",mob3.c,0.002706,0.002867,0.00277
"C (gcc -O0)",mob.c,0.00788,0.008201,0.008016
"C (gcc -Ofast)",mob.c,0.005949,0.006132,0.006038
"C (gcc -O2)",mob.c,0.005951,0.006055,0.00601433333333333
"Go (go)",mob2.go,0.032674,0.033158,0.0328806666666667
