language,file,load_time,time_min,time_max,time_avg
OCaml 4.02.3,ack.ml,0.010585,0.196361,0.196361,0.196361
Ruby 2.3.0,ack.rb,0.038352,0.575967,0.575967,0.575967
JRuby 9.0.5,ack.rb,1.780298,0.506647,0.506647,0.506647
Groovy 2.4.5,ack.gvy,0.572503,0.479899,0.479899,0.479899
Clojure 1.8.0,ack.clj,0.704926,0.277875,0.277875,0.277875
Crystal 0.12.0,ack.cr,0.266064,0.244162,0.244162,0.244162
Julia 0.4.3,ack.jl,0.171679,0.159327,0.159327,0.159327
Scala 2.11.7,ack.sc,0.71944,0.807396,0.807396,0.807396
"Gawk 4.1.3",ack.awk,0.002787,1.992943,1.992943,1.992943
"Mawk 1.3.4",ack.awk,0.00081,0.635876,0.635876,0.635876
Tcl 8.6.4,ack.tcl,0.003189,4.515509,4.515509,4.515509
Lua 5.3.2,ack.lua,0.001093,0.643147,0.643147,0.643147
LuaJIT 2.0.4,ack.lua,0.00089,0.041466,0.041466,0.041466
"Python 2.7.11",ack.py,0.010196,2.82496,2.82496,2.82496
"Python 3.5.1",ack.py,0.019628,3.335599,3.335599,3.335599
PyPy 4.0.1,ack.py,0.12441,0.884864,0.884864,0.884864
PHP 7.0.3,ack.php,0.007338,0.444084,0.444084,0.444084
Perl 5.22.1,ack.pl,0.001546,5.755956,5.755956,5.755956
mRuby 1.2.0,ack.mrb,0.009273,2.463191,2.463191,2.463191
Elixir 1.2.2,ack.exs,0.270933,0.174129,0.174129,0.174129
