language,file,load_time,time_min,time_max,time_avg
Lua 5.3.2,csum.lua,0.001144,7.696566,7.696566,7.696566
LuaJIT 2.0.4,csum.lua,0.000817,0.948601,0.948601,0.948601
JRuby 9.0.5,csum.rb,1.74268,6.150506,6.150506,6.150506
Ruby 2.3.0,csum.rb,0.03724,6.43929,6.43929,6.43929
Scala 2.11.7,csum.sc,0.484007,4.066892,4.066892,4.066892
PHP 7.0.3,csum.php,0.007542,2.666493,2.666493,2.666493
Julia 0.4.3,csum.jl,0.173758,0.762235,0.762235,0.762235
PyPy 4.0.1,csum.py,0.12587,1.021451,1.021451,1.021451
"Python 3.5.1",csum.py,0.019672,6.297939,6.297939,6.297939
"Python 2.7.11",csum.py,0.010102,5.327613,5.327613,5.327613
Perl 5.22.1,csum.pl,0.001483,8.244443,8.244443,8.244443
"Mawk 1.3.4",csum.awk,0.000791,5.59567,5.59567,5.59567
"Gawk 4.1.3",csum.awk,0.002777,13.399615,13.399615,13.399615
Crystal 0.12.0,csum.cr,0.254701,1.916612,1.916612,1.916612
