language,file,load_time,time_min,time_max,time_avg
Julia 0.4.3,fib.jl,0.168341,0.179491,0.179491,0.179491
PHP 7.0.3,fib.php,0.007577,1.140826,1.140826,1.140826
"Python 3.5.1",fib.py,0.01951,4.375119,4.375119,4.375119
PyPy 4.0.1,fib.py,0.125284,0.281855,0.281855,0.281855
"Python 2.7.11",fib.py,0.009587,3.56885,3.56885,3.56885
mRuby 1.2.0,fib.mrb,0.00951,6.497616,6.497616,6.497616
Elixir 1.2.2,fib.exs,0.282792,0.472613,0.472613,0.472613
JRuby 9.0.5,fib.rb,1.922344,0.898969,0.898969,0.898969
Ruby 2.3.0,fib.rb,0.037269,1.401712,1.401712,1.401712
Groovy 2.4.5,fib.gvy,0.595579,0.646653,0.646653,0.646653
Perl 5.22.1,fib.pl,0.001418,6.683836,6.683836,6.683836
OCaml 4.02.3,fib.ml,0.010228,0.492336,0.492336,0.492336
Clojure 1.8.0,fib.clj,0.719956,0.28168,0.28168,0.28168
"Gawk 4.1.3",fib.awk,0.002822,4.112203,4.112203,4.112203
"Mawk 1.3.4",fib.awk,0.000719,1.276349,1.276349,1.276349
LuaJIT 2.0.4,fib.lua,0.000883,0.209918,0.209918,0.209918
Lua 5.3.2,fib.lua,0.001052,1.947757,1.947757,1.947757
Scala 2.11.7,fib.sc,0.511393,0.219029,0.219029,0.219029
