language,file,load_time,time_min,time_max,time_avg
PHP 7.1.9,lev.php,0,1.355831,1.385751,1.36967566666667
Elixir 1.5.1,lev.exs,0,14.385693,14.77534,14.5337113333333
JRuby 9.1.12,lev.rb,0,3.79608,4.232895,4.013781
Ruby 2.4.2,lev.rb,0,2.532446,2.551706,2.54268766666667
Crystal 0.23.1,lev.cr,0,1.929977,1.993144,1.970693
Pike 8.0.438,lev.pike,0,4.36913,4.531802,4.43998733333333
OCaml 4.05.0,lev.ml,0,1.928611,1.967399,1.94162733333333
Perl 5.26.1,lev.pl,0,4.340322,4.394633,4.36262366666667
Julia 0.6.0,lev.jl,0,0.768694,0.787576,0.776607666666667
Lua 5.3.4,lev.lua,0,2.597618,2.622566,2.61143166666667
LuaJIT 2.0.5,lev.lua,0,0.24178,0.242359,0.242156333333333
"Gawk 4.1.4",lev.awk,0,5.174292,5.213033,5.198645
"Mawk 1.3.4",lev.awk,0,1.869657,1.911328,1.896051
"Python 2.7.14",lev.py,0,2.65753,2.702434,2.67374966666667
"Python 3.6.2",lev.py,0,3.542646,3.607826,3.57503966666667
PyPy 5.8.0,lev.py,0,0.858463,0.87839,0.868685333333333
Groovy 2.4.12,lev.gvy,0,2.04317,2.239777,2.14203066666667
Scala 2.12.3,lev.sc,0,3.001837,3.037136,3.016578
