language,file,load_time,time_min,time_max,time_avg
Crystal 0.23.1,mrec.cr,0,0.83355,0.898308,0.873575333333333
OCaml 4.05.0,mrec.ml,0,0.643447,0.648292,0.645306666666667
Julia 0.6.0,mrec.jl,0,0.377956,0.378952,0.378525666666667
Pike 8.0.438,mrec.pike,0,9.457853,9.579186,9.53739266666667
"Gawk 4.1.4",mrec.awk,0,5.346207,5.36221,5.351645
"Mawk 1.3.4",mrec.awk,0,1.988114,2.01849,2.00576733333333
PyPy 5.8.0,mrec.py,0,1.750799,1.788169,1.77327566666667
"Python 3.6.2",mrec.py,0,5.906175,6.085459,5.96988166666667
"Python 2.7.14",mrec.py,0,5.100861,5.130893,5.115713
JRuby 9.1.12,mrec.rb,0,3.224504,3.51104,3.33311633333333
Ruby 2.4.2,mrec.rb,0,1.996922,2.059699,2.02406033333333
Scala 2.12.3,mrec.sc,0,1.178223,1.223781,1.208373
Elixir 1.5.1,mrec.exs,0,1.011409,1.038099,1.02753033333333
Tcl 8.6.7,mrec.tcl,0,13.982075,14.127575,14.069283
mRuby 1.3.0,mrec.mrb,0,10.216957,10.832159,10.560208
LuaJIT 2.0.5,mrec.lua,0,0.260644,0.260812,0.260737666666667
Lua 5.3.4,mrec.lua,0,2.472873,2.599346,2.549713
Clojure 1.8.0,mrec.clj,0,1.181198,1.280726,1.23123633333333
Perl 5.26.1,mrec.pl,0,8.923228,8.998843,8.94934533333333
PHP 7.1.9,mrec.php,0,1.484316,1.492612,1.48958066666667
Groovy 2.4.12,mrec.gvy,0,1.716096,1.759919,1.73121433333333
