language,file,load_time,time_min,time_max,time_avg
Elixir 1.2.2,tak.exs,0.268466,0.607263,0.607263,0.607263
OCaml 4.02.3,tak.ml,0.010217,0.839776,0.839776,0.839776
Scala 2.11.7,tak.sc,0.458694,0.214883,0.214883,0.214883
LuaJIT 2.0.4,tak.lua,0.000882,0.200536,0.200536,0.200536
Lua 5.3.2,tak.lua,0.001126,2.344522,2.344522,2.344522
PyPy 4.0.1,tak.py,0.126549,1.562874,1.562874,1.562874
"Python 3.5.1",tak.py,0.019127,5.48431,5.48431,5.48431
"Python 2.7.11",tak.py,0.010047,4.598611,4.598611,4.598611
Julia 0.4.3,tak.jl,0.170221,0.230783,0.230783,0.230783
Groovy 2.4.5,tak.gvy,0.588819,0.851839,0.851839,0.851839
"Mawk 1.3.4",tak.awk,0.000774,2.881501,2.881501,2.881501
"Gawk 4.1.3",tak.awk,0.002819,6.682109,6.682109,6.682109
Ruby 2.3.0,tak.rb,0.037655,1.770659,1.770659,1.770659
JRuby 9.0.5,tak.rb,1.846808,1.037411,1.037411,1.037411
Perl 5.22.1,tak.pl,0.001449,13.761888,13.761888,13.761888
Tcl 8.6.4,tak.tcl,0.004239,12.743023,12.743023,12.743023
Crystal 0.12.0,tak.cr,0.270947,0.297006,0.297006,0.297006
Clojure 1.8.0,tak.clj,0.709508,0.602491,0.602491,0.602491
PHP 7.0.3,tak.php,0.007321,2.001776,2.001776,2.001776
mRuby 1.2.0,tak.mrb,0.009449,8.372551,8.372551,8.372551
