,Ackermann,Coin sums,Fibonacci,LCS,Levenshtein,Mutual recursion,Tak
Clojure 1.8.0,1.03014033333333,,1.139616,4.928205,,1.23123633333333,1.316481
Crystal 0.23.1,0.845774666666667,2.23989266666667,0.662744666666667,2.04912033333333,1.970693,0.873575333333333,0.657442666666667
Elixir 1.5.1,0.629091,,0.928220666666667,,,1.02753033333333,0.983816666666667
Gawk 4.1.4,2.018702,13.4084,3.64836066666667,5.839775,5.198645,5.351645,5.99855333333333
Groovy 2.4.12,1.15814166666667,,1.34198566666667,1.70362666666667,2.14203066666667,1.73121433333333,1.58856966666667
JRuby 9.1.12,3.018393,7.62494166666667,3.18329866666667,3.88650733333333,4.013781,3.33311633333333,3.13118733333333
Julia 0.6.0,0.344643333333333,1.12756666666667,0.360108333333333,1.017156,0.776607666666667,0.378525666666667,0.409584666666667
Lua 5.3.4,0.597851,7.22468966666667,1.79492233333333,2.74099333333333,2.61143166666667,2.549713,2.27645466666667
LuaJIT 2.0.5,0.047059666666667,0.953252666666667,0.193556666666667,0.228219333333333,0.242156333333333,0.260737666666667,0.146184666666667
Mawk 1.3.4,0.670161333333333,5.98988133333333,1.30501433333333,2.04181466666667,1.896051,2.00576733333333,2.93577966666667
mRuby 1.3.0,2.789678,,6.57141166666667,,,10.560208,8.58115433333333
OCaml 4.05.0,0.161070333333333,,0.438348333333333,,1.94162733333333,0.645306666666667,0.681859
Perl 5.26.1,3.16894266666667,7.10025733333333,5.01812766666667,5.19936333333333,4.36262366666667,8.94934533333333,11.8584506666667
PHP 7.1.9,0.448660666666667,2.219356,1.123851,1.322207,1.36967566666667,1.48958066666667,1.94974133333333
Pike 8.0.438,2.490879,10.0814566666667,5.476207,4.952137,4.43998733333333,9.53739266666667,7.39868966666667
PyPy 5.8.0,1.03767633333333,1.222191,0.417603666666667,0.513047333333333,0.868685333333333,1.77327566666667,1.687314
Python 2.7.14,2.66095933333333,5.057483,3.490034,2.437555,2.67374966666667,5.115713,4.65581466666667
Python 3.6.2,3.16917433333333,4.93194533333333,4.09467433333333,3.05968,3.57503966666667,5.96988166666667,5.29803566666667
Ruby 2.4.2,0.608116333333333,6.27081966666667,1.27937166666667,3.12278333333333,2.54268766666667,2.02406033333333,1.77127866666667
Scala 2.12.3,1.17622366666667,3.73228833333333,1.204198,1.35236266666667,3.016578,1.208373,1.18016766666667
Tcl 8.6.7,3.90330933333333,,,5.20903466666667,,14.069283,12.2396086666667
